tool_type,lost_year,latitude,longitude,num_tools_lost
LobsterTrap,2010,59.74465386929541,10.523763280047687,1
LobsterTrap,2011,59.322390218285676,5.645073737070431,1
LobsterTrap,2012,63.59520357991817,9.113306027614529,1
LobsterTrap,2013,61.24775755298734,6.1948802306172155,2
LobsterTrap,2015,60.103547345026975,9.149070216315183,7
LobsterTrap,2016,60.03094014459502,6.970013996286285,5
LobsterTrap,2017,60.45058937279363,7.359617422934178,5
LobsterTrap,2018,60.285503870048835,6.289309538318256,19
LobsterTrap,2019,60.274622948330034,8.792448328925486,50
LobsterTrap,2020,60.010195582801146,8.291716835966183,554
LobsterTrap,2021,59.72369598607063,7.8556675031313965,970
LobsterTrap,2022,59.5900541250424,7.506182268628477,1077
LobsterTrap,2021,62.485893811089916,6.716881535448413,1
LobsterTrap,2021,59.191172839494115,10.48384241759777,1
LobsterTrap,2021,58.161636757047944,8.350581675767899,1
LobsterTrap,2017,60.263501938161234,5.319640520195825,11
LobsterTrap,2020,60.30995152326924,5.136659760028124,2
LobsterTrap,2020,58.511469210172564,8.934913985431194,1
LobsterTrap,2020,62.564766514890145,6.257943516224839,1
LobsterTrap,2020,59.02674267575096,5.9028357359240475,1
LobsterTrap,2019,62.329213241251445,5.741283483803272,1
LobsterTrap,2020,60.243465733512146,5.242411400709556,3
LobsterTrap,2021,62.488738924916476,6.069470791160248,1
LobsterTrap,2020,62.30791758743385,5.71037169545889,1
LobsterTrap,2021,58.22688954249571,8.396256007254125,1
LobsterTrap,2021,62.64809624157162,6.917562894523144,1
LobsterTrap,2021,58.27520721664485,6.650125868618488,1
LobsterTrap,2020,59.36059249181159,10.507948877536343,1
LobsterTrap,2020,63.60195009334466,10.873762182891369,1
LobsterTrap,2020,58.42654022341191,8.789065182209015,4
LobsterTrap,2020,59.06000946073657,10.457894727587702,1
LobsterTrap,2020,59.171227739528376,6.047649420797825,1
LobsterTrap,2019,62.0375433724707,5.338095163334558,3
LobsterTrap,2020,58.02298907114607,7.320847101509572,3
LobsterTrap,2020,60.32900166196204,5.210767351090908,2
LobsterTrap,2022,63.35044015712659,10.047806560893884,8
LobsterTrap,2020,62.899766816752724,6.913261076993515,1
LobsterTrap,2021,59.68467191945856,10.617146421927002,3
LobsterTrap,2022,60.47055487853684,5.02102319151163,1
LobsterTrap,2022,57.97116849746671,7.441559582948684,3
LobsterTrap,2020,58.06875976171094,6.986407488584518,2
LobsterTrap,2022,59.17860708074008,10.764961687111247,1
LobsterTrap,2015,60.164864411321055,5.323621739373233,1
LobsterTrap,2022,58.04704840282238,6.829714849591255,2
LobsterTrap,2021,59.566925463986635,5.428892634809017,3
LobsterTrap,2020,58.01333302760923,7.49262347817421,3
LobsterTrap,2021,60.44280254103794,5.012950077652931,2
LobsterTrap,2016,58.23311951404167,6.746223047375679,1
LobsterTrap,2020,58.24970572383536,6.819419525563717,1
LobsterTrap,2019,58.24365141826735,6.803383268415928,1
LobsterTrap,2021,60.41175044957826,5.1355207880187885,1
LobsterTrap,2021,58.82096553361057,9.474964365363121,1
LobsterTrap,2022,59.672211490991636,5.422005392611027,1
LobsterTrap,2022,60.10504982220335,5.255502866969695,1
LobsterTrap,2020,59.03553345879907,10.453365482389927,1
LobsterTrap,2019,58.24337261265362,6.805076077580452,1
LobsterTrap,2020,61.811933657901406,5.180368870496749,1
LobsterTrap,2021,59.28473848783875,5.384036747581846,1
LobsterTrap,2021,60.86018581513125,4.847042544508734,1
LobsterTrap,2022,59.16554858717572,10.33659458291332,2
LobsterTrap,2022,59.86479806553412,10.740204484312818,1
LobsterTrap,2022,58.92109737135824,10.67931005190046,1
LobsterTrap,2021,60.85833666242228,4.843227830233842,1
LobsterTrap,2020,58.90031424141211,9.39350006347906,1
LobsterTrap,2021,61.138407447980335,6.93014627632012,1
LobsterTrap,2021,58.40024565900409,8.754064366221428,1
LobsterTrap,2022,58.025833036970404,7.2547950223088264,1
LobsterTrap,2020,62.66678020939345,6.87901820987463,2
LobsterTrap,2020,62.661714576983485,7.4959003776919495,1
LobsterTrap,2020,57.96761658254454,7.519606327086166,1
LobsterTrap,2020,57.962651873083054,7.487432308387615,1
LobsterTrap,2021,60.58951624656802,4.862783810155814,1
LobsterTrap,2021,58.07552737271691,6.828485392034054,2
LobsterTrap,2022,59.511082551041596,5.465601164937255,1
LobsterTrap,2022,63.64808025768531,10.60768570750952,1
LobsterTrap,2022,60.22630613985091,5.253042406588163,1
LobsterTrap,2013,58.5712131070818,9.066632604811948,1
LobsterTrap,2021,57.98326751953905,7.622038955108053,1
LobsterTrap,2022,60.638338405548474,4.838079772889614,1
LobsterTrap,2021,58.2594933381758,6.662788489577463,1
LobsterTrap,2020,61.93221875626617,5.039852298796178,1
LobsterTrap,2021,60.201980089448305,5.16258180141449,1
LobsterTrap,2022,61.9224810336692,5.125876419283735,1
LobsterTrap,2021,59.411536223633,5.249703973531723,4
LobsterTrap,2020,58.043257574679345,7.753215816045439,1
LobsterTrap,2021,60.21010282241477,5.545804426074028,1
LobsterTrap,2022,63.04709596560496,7.545378984616762,1
LobsterTrap,2020,59.068011473333925,5.611524893131944,1
LobsterTrap,2020,62.39359701542535,6.422135084867477,1
LobsterTrap,2022,63.54192815405595,10.681786760687828,1
LobsterTrap,2022,61.305113,4.719767,1
LobsterTrap,2021,58.3195407852598,8.578811176121235,1
LobsterTrap,2022,59.6799017460692,5.415186882019042,1
LobsterTrap,2021,60.216187133841615,5.324434046373454,1
LobsterTrap,2021,63.854381390117695,11.233030334115027,1
