Lat;Lon;Time Range;Apparent Fishing hours
74;20,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,751111
71,3;17,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;5,769167
71;17,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;25,296667
70,9;17,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;33,921667
70,7;17,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;30,365556
70,8;17,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;26,648889
70,7;17,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;14,263889
70,7;17,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;13,029167
70,9;18,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,022778
70,7;17,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;9,695
70,6;17,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;55,328611
70,7;18,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,717222
70,8;18,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,535556
70,7;18,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,910278
70,7;20,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;28,976111
71,1;21,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;8,836944
71,1;21,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;15,356111
71,2;22;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;19,664722
71,3;22,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,955833
71,3;22,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;2,848611
71,1;22,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;62,354167
71;22;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;16,843889
71;21,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;13,454444
70,9;22;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,2775
71;22,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;40,321389
71;22,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;99,291667
68,8;12,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;35,501389
70,5;17,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;42,430833
70,4;17,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;64,180278
70,3;17,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,804167
70,6;19,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;14,754722
